Severity,Start_Time,Weather_Condition,Visibility(mi),Precipitation(in),Sunrise_Sunset,Start_Lat,Start_Lng,State
4,2022-03-06 18:00:00,Fog,6.91,1.81,Day,43.718713,-77.431075,MI
1,2022-03-06 19:00:00,Cloudy,3.69,0.36,Night,43.648336,-97.335532,GA
2,2022-03-06 20:00:00,Cloudy,2.11,0.97,Night,48.256973,-121.31479,TX
3,2022-03-06 21:00:00,Rain,6.02,1.82,Night,46.221711,-70.680606,OH
3,2022-03-06 22:00:00,Clear,5.09,0.65,Night,36.947314,-102.981914,GA
3,2022-03-06 23:00:00,Thunderstorm,7.42,1.94,Day,34.958465,-85.556628,NY
3,2022-03-07 00:00:00,Thunderstorm,4.69,0.19,Night,46.978444,-85.618192,FL
4,2022-03-07 01:00:00,Fog,3.72,1.81,Day,39.669406,-121.675817,MI
4,2022-03-07 02:00:00,Clear,3.29,0.89,Night,32.065568,-124.787325,NC
2,2022-03-07 03:00:00,Rain,2.51,0.15,Night,38.547137,-119.805815,TX
3,2022-03-07 04:00:00,Rain,3.02,1.76,Night,48.811586,-68.564663,FL
3,2022-03-07 05:00:00,Cloudy,1.4,0.5,Night,45.387281,-78.154416,GA
1,2022-03-07 06:00:00,Fog,3.8,0.04,Night,31.750713,-117.211276,TX
4,2022-03-07 07:00:00,Snow,0.85,0.27,Night,47.870906,-88.722678,PA
3,2022-03-07 08:00:00,Rain,2.27,1.32,Day,48.555091,-88.893549,MI
2,2022-03-07 09:00:00,Fog,7.59,1.96,Day,30.548007,-124.967013,GA
2,2022-03-07 10:00:00,Clear,3.59,0.22,Day,46.494211,-99.685208,OH
4,2022-03-07 11:00:00,Cloudy,6.85,0.92,Day,46.196865,-83.005247,NY
2,2022-03-07 12:00:00,Thunderstorm,7.31,0.36,Day,25.954086,-113.979222,MI
2,2022-03-07 13:00:00,Clear,6.02,1.49,Night,41.072541,-74.796674,NC
4,2022-03-07 14:00:00,Rain,9.61,0.24,Night,32.326737,-86.042011,TX
3,2022-03-07 15:00:00,Rain,0.7,0.48,Day,41.190703,-124.591466,OH
3,2022-03-07 16:00:00,Clear,7.52,0.39,Night,46.925409,-74.560063,OH
2,2022-03-07 17:00:00,Rain,9.61,1.11,Night,36.970702,-123.855398,OH
2,2022-03-07 18:00:00,Fog,8.69,1.75,Night,34.945908,-72.612201,OH
3,2022-03-07 19:00:00,Rain,2.09,1.02,Night,47.116751,-105.310587,PA
4,2022-03-07 20:00:00,Cloudy,3.6,0.12,Day,48.378758,-83.779635,CA
2,2022-03-07 21:00:00,Fog,2.14,1.13,Night,26.493672,-78.541573,NY
1,2022-03-07 22:00:00,Snow,6.21,1.6,Day,47.148354,-108.40514,PA
4,2022-03-07 23:00:00,Rain,7.27,0.26,Day,26.986445,-103.970227,MI
2,2022-03-08 00:00:00,Rain,3.51,0.15,Night,33.094869,-94.937037,NY
2,2022-03-08 01:00:00,Cloudy,5.63,0.38,Night,43.301779,-90.6212,OH
1,2022-03-08 02:00:00,Cloudy,7.06,1.49,Night,43.648888,-107.769528,TX
1,2022-03-08 03:00:00,Thunderstorm,4.5,1.18,Day,42.419725,-66.448673,TX
3,2022-03-08 04:00:00,Clear,8.61,1.08,Night,25.9387,-81.516724,TX
4,2022-03-08 05:00:00,Clear,7.83,0.5,Day,28.191185,-108.825031,MI
4,2022-03-08 06:00:00,Clear,1.11,0.66,Night,47.469196,-87.214501,FL
3,2022-03-08 07:00:00,Cloudy,6.4,1.93,Day,26.955073,-99.313099,PA
4,2022-03-08 08:00:00,Clear,2.74,0.48,Day,26.885102,-74.240595,MI
4,2022-03-08 09:00:00,Clear,5.8,1.8,Day,45.055503,-105.591946,NC
4,2022-03-08 10:00:00,Snow,9.59,1.16,Day,40.390378,-113.916615,FL
4,2022-03-08 11:00:00,Clear,8.85,0.25,Day,33.439745,-122.277961,IL
4,2022-03-08 12:00:00,Rain,4.34,0.93,Day,28.977052,-66.925755,IL
1,2022-03-08 13:00:00,Thunderstorm,3.27,1.9,Day,46.22009,-103.805921,IL
4,2022-03-08 14:00:00,Cloudy,2.73,0.84,Night,48.724906,-111.98941,PA
1,2022-03-08 15:00:00,Fog,5.56,1.73,Day,26.199321,-95.98566,TX
4,2022-03-08 16:00:00,Thunderstorm,1.59,0.51,Night,38.298721,-107.79328,CA
3,2022-03-08 17:00:00,Snow,5.72,1.14,Night,31.271286,-111.258898,PA
2,2022-03-08 18:00:00,Cloudy,0.51,1.69,Night,44.977284,-88.633314,GA
1,2022-03-08 19:00:00,Cloudy,3.58,1.84,Day,33.305754,-120.583944,MI
4,2022-03-08 20:00:00,Rain,2.59,0.97,Day,42.151103,-94.969416,PA
3,2022-03-08 21:00:00,Thunderstorm,9.73,1.28,Night,37.948562,-102.141553,FL
2,2022-03-08 22:00:00,Thunderstorm,7.41,0.01,Day,37.996561,-93.580771,FL
1,2022-03-08 23:00:00,Clear,3.82,0.51,Day,45.591986,-106.094003,TX
2,2022-03-09 00:00:00,Rain,1.38,0.56,Night,36.289706,-91.351066,OH
3,2022-03-09 01:00:00,Clear,5.41,0.19,Night,45.294389,-120.172706,TX
1,2022-03-09 02:00:00,Clear,2.53,0.56,Night,33.722244,-102.806622,IL
2,2022-03-09 03:00:00,Cloudy,5.6,0.64,Night,29.194791,-110.987582,GA
4,2022-03-09 04:00:00,Thunderstorm,8.44,1.94,Night,35.931457,-99.152707,GA
1,2022-03-09 05:00:00,Clear,6.35,1.34,Night,36.960539,-101.49817,TX
2,2022-03-09 06:00:00,Snow,6.52,0.85,Night,36.481197,-87.760164,IL
3,2022-03-09 07:00:00,Snow,5.64,1.98,Day,44.39993,-87.903294,FL
3,2022-03-09 08:00:00,Thunderstorm,9.31,0.31,Day,38.552295,-100.61148,NC
1,2022-03-09 09:00:00,Snow,9.35,0.95,Day,46.322658,-114.284234,FL
2,2022-03-09 10:00:00,Cloudy,5.37,1.29,Night,37.340452,-90.667095,CA
1,2022-03-09 11:00:00,Rain,3.4,0.11,Day,30.393162,-67.975593,NC
1,2022-03-09 12:00:00,Fog,4.87,1.43,Night,28.1079,-114.058879,GA
2,2022-03-09 13:00:00,Clear,2.27,0.2,Night,45.840708,-120.925508,TX
2,2022-03-09 14:00:00,Fog,6.55,0.28,Night,26.348147,-109.39089,MI
4,2022-03-09 15:00:00,Rain,5.25,0.32,Day,27.822631,-100.6377,MI
2,2022-03-09 16:00:00,Rain,1.48,1.86,Night,26.527804,-106.934883,FL
3,2022-03-09 17:00:00,Cloudy,2.38,1.37,Night,35.169621,-75.752127,OH
1,2022-03-09 18:00:00,Snow,5.06,1.31,Night,37.782775,-95.911367,IL
1,2022-03-09 19:00:00,Snow,8.93,1.11,Day,25.476994,-110.478455,GA
3,2022-03-09 20:00:00,Rain,5.88,0.59,Day,37.374068,-68.938256,MI
2,2022-03-09 21:00:00,Cloudy,6.97,1.24,Night,34.450227,-117.621294,PA
3,2022-03-09 22:00:00,Cloudy,3.72,0.82,Night,43.567484,-117.748225,PA
3,2022-03-09 23:00:00,Thunderstorm,5.93,0.29,Night,44.918959,-110.528193,TX
4,2022-03-10 00:00:00,Clear,4.75,1.38,Day,41.439218,-120.470445,IL
3,2022-03-10 01:00:00,Snow,6.76,0.26,Night,36.363893,-80.652492,PA
1,2022-03-10 02:00:00,Rain,0.98,0.38,Night,30.187566,-106.544161,NC
3,2022-03-10 03:00:00,Thunderstorm,5.19,1.64,Day,45.330757,-81.939558,FL
1,2022-03-10 04:00:00,Fog,3.31,1.32,Day,33.200059,-79.998489,PA
1,2022-03-10 05:00:00,Snow,3.6,1.26,Day,33.551005,-110.986406,FL
1,2022-03-10 06:00:00,Clear,9.63,0.84,Day,46.984277,-94.416545,NC
2,2022-03-10 07:00:00,Cloudy,2.24,0.79,Day,48.414334,-94.344062,NC
4,2022-03-10 08:00:00,Rain,3.46,1.38,Day,46.555143,-73.5895,MI
1,2022-03-10 09:00:00,Snow,5.34,1.48,Night,48.957633,-123.48778,OH
1,2022-03-10 10:00:00,Fog,8.7,1.02,Day,45.853812,-106.30878,CA
2,2022-03-10 11:00:00,Clear,4.46,1.94,Day,41.90458,-72.933127,NC
1,2022-03-10 12:00:00,Clear,7.57,1.91,Night,32.051666,-111.02861,NC
3,2022-03-10 13:00:00,Thunderstorm,8.64,0.82,Night,47.870969,-116.924081,MI
3,2022-03-10 14:00:00,Snow,3.45,1.64,Night,46.039044,-91.007793,PA
4,2022-03-10 15:00:00,Fog,4.23,1.09,Day,30.777923,-106.953271,TX
1,2022-03-10 16:00:00,Clear,3.89,1.02,Day,36.739899,-97.429625,CA
2,2022-03-10 17:00:00,Rain,8.41,0.11,Day,26.681336,-76.619247,TX
3,2022-03-10 18:00:00,Clear,0.92,1.15,Day,47.879413,-94.278878,NY
2,2022-03-10 19:00:00,Fog,3.43,1.8,Day,38.74644,-94.562503,NY
2,2022-03-10 20:00:00,Cloudy,6.95,1.56,Night,30.884813,-108.587222,CA
3,2022-03-10 21:00:00,Cloudy,5.87,1.57,Night,32.017584,-78.220932,GA
2,2022-03-10 22:00:00,Thunderstorm,4.64,0.32,Day,48.535753,-81.350937,MI
3,2022-03-10 23:00:00,Snow,5.63,0.72,Day,39.774743,-111.18689,GA
2,2022-03-11 00:00:00,Fog,2.38,0.47,Night,35.096395,-106.119733,GA
3,2022-03-11 01:00:00,Thunderstorm,4.59,0.63,Day,36.996291,-78.470937,PA
1,2022-03-11 02:00:00,Clear,5.27,1.16,Night,27.365202,-103.89465,MI
4,2022-03-11 03:00:00,Clear,9.06,0.73,Night,26.800546,-101.189983,TX
3,2022-03-11 04:00:00,Cloudy,2.98,1.12,Night,39.224986,-103.499676,NY
3,2022-03-11 05:00:00,Thunderstorm,8.74,0.88,Night,37.288097,-115.463681,CA
4,2022-03-11 06:00:00,Cloudy,6.62,0.57,Night,33.619677,-104.887104,MI
3,2022-03-11 07:00:00,Rain,0.69,0.19,Night,38.586735,-77.626817,CA
3,2022-03-11 08:00:00,Cloudy,7.38,1.78,Night,26.744223,-96.026554,MI
2,2022-03-11 09:00:00,Rain,0.84,0.02,Night,47.655788,-97.965168,FL
4,2022-03-11 10:00:00,Clear,9.98,0.0,Day,32.049081,-115.775281,NY
1,2022-03-11 11:00:00,Thunderstorm,8.79,1.65,Night,26.722691,-114.52338,FL
3,2022-03-11 12:00:00,Rain,3.32,1.99,Night,29.068103,-122.46594,FL
4,2022-03-11 13:00:00,Thunderstorm,2.95,1.45,Night,27.291374,-124.176624,GA
2,2022-03-11 14:00:00,Thunderstorm,4.12,0.03,Night,29.286508,-96.207172,NY
1,2022-03-11 15:00:00,Rain,3.88,0.45,Night,35.002097,-100.855291,FL
4,2022-03-11 16:00:00,Snow,4.04,1.94,Day,42.713221,-108.752723,NC
1,2022-03-11 17:00:00,Cloudy,3.52,1.62,Night,31.53636,-66.587254,CA
1,2022-03-11 18:00:00,Rain,6.4,1.13,Day,35.462239,-101.518224,GA
1,2022-03-11 19:00:00,Clear,2.06,0.47,Night,47.290175,-78.458033,PA
3,2022-03-11 20:00:00,Thunderstorm,8.54,0.03,Night,32.099722,-112.57781,GA
3,2022-03-11 21:00:00,Fog,8.22,0.04,Day,44.073274,-110.424569,MI
2,2022-03-11 22:00:00,Rain,5.03,1.22,Day,28.787605,-91.464909,FL
2,2022-03-11 23:00:00,Cloudy,8.6,0.04,Night,29.279722,-124.762332,IL
4,2022-03-12 00:00:00,Thunderstorm,2.85,1.99,Night,35.947669,-123.971898,OH
2,2022-03-12 01:00:00,Snow,0.67,0.37,Day,30.618454,-116.609095,GA
1,2022-03-12 02:00:00,Clear,6.38,1.42,Day,46.672674,-111.835859,OH
1,2022-03-12 03:00:00,Snow,4.85,0.31,Night,26.218055,-93.856879,OH
3,2022-03-12 04:00:00,Fog,5.89,1.08,Day,39.334542,-84.512464,TX
1,2022-03-12 05:00:00,Rain,9.04,0.16,Day,39.501506,-106.599159,FL
4,2022-03-12 06:00:00,Thunderstorm,9.71,1.53,Day,26.584622,-110.894815,IL
1,2022-03-12 07:00:00,Rain,6.53,1.17,Day,42.581541,-76.45414,FL
1,2022-03-12 08:00:00,Cloudy,7.76,0.17,Day,36.253541,-115.396158,NC
4,2022-03-12 09:00:00,Rain,1.3,1.7,Night,42.353761,-84.978733,NC
2,2022-03-12 10:00:00,Clear,2.03,1.09,Night,44.8462,-70.0515,IL
2,2022-03-12 11:00:00,Fog,7.47,1.84,Night,32.749584,-111.299556,CA
4,2022-03-12 12:00:00,Snow,4.6,1.83,Night,36.627661,-119.869043,CA
3,2022-03-12 13:00:00,Fog,4.74,1.84,Night,31.258259,-67.194225,NY
1,2022-03-12 14:00:00,Thunderstorm,3.43,0.16,Night,29.836323,-109.024346,MI
4,2022-03-12 15:00:00,Rain,6.27,0.24,Day,25.014274,-108.735871,GA
1,2022-03-12 16:00:00,Thunderstorm,2.26,1.98,Day,48.127156,-96.457435,FL
3,2022-03-12 17:00:00,Snow,6.46,0.98,Day,35.582283,-111.367598,NY
1,2022-03-12 18:00:00,Thunderstorm,2.15,0.48,Night,25.313675,-66.420531,IL
4,2022-03-12 19:00:00,Cloudy,1.11,1.54,Day,25.214526,-122.465013,NC
1,2022-03-12 20:00:00,Fog,3.64,0.53,Day,31.920462,-98.363088,NY
2,2022-03-12 21:00:00,Snow,2.7,1.45,Day,25.334504,-92.647543,FL
3,2022-03-12 22:00:00,Snow,8.95,1.67,Day,33.988351,-97.449899,MI
3,2022-03-12 23:00:00,Snow,1.02,1.57,Day,26.510524,-94.289145,MI
3,2022-03-13 00:00:00,Clear,2.18,0.55,Night,25.942038,-66.73283,NC
4,2022-03-13 01:00:00,Fog,5.71,0.8,Night,41.065153,-73.262807,OH
3,2022-03-13 02:00:00,Thunderstorm,5.07,0.83,Day,46.764191,-106.801823,NC
2,2022-03-13 03:00:00,Snow,0.94,0.98,Day,34.825278,-92.462854,MI
4,2022-03-13 04:00:00,Fog,0.57,0.33,Night,45.08249,-124.98165,IL
2,2022-03-13 05:00:00,Snow,9.89,0.9,Night,25.702371,-100.835429,NY
1,2022-03-13 06:00:00,Cloudy,6.76,1.02,Day,43.664561,-115.331421,PA
1,2022-03-13 07:00:00,Cloudy,3.97,1.06,Day,26.5072,-83.029725,MI
1,2022-03-13 08:00:00,Cloudy,4.97,1.64,Night,45.122546,-111.955715,TX
1,2022-03-13 09:00:00,Rain,3.03,1.03,Night,46.176792,-80.815157,FL
2,2022-03-13 10:00:00,Snow,3.78,0.46,Day,43.863372,-106.52357,PA
4,2022-03-13 11:00:00,Rain,6.67,1.33,Day,44.697977,-70.376111,FL
4,2022-03-13 12:00:00,Fog,8.89,1.59,Night,38.47563,-98.72042,FL
3,2022-03-13 13:00:00,Rain,2.25,0.64,Day,31.357239,-75.468455,NC
2,2022-03-13 14:00:00,Fog,8.48,1.29,Night,40.437544,-87.938206,NY
1,2022-03-13 15:00:00,Fog,1.65,0.29,Day,35.549,-67.333505,NY
2,2022-03-13 16:00:00,Fog,2.54,0.68,Day,25.128077,-81.179358,CA
3,2022-03-13 17:00:00,Thunderstorm,0.85,1.82,Night,36.443817,-82.065504,OH
3,2022-03-13 18:00:00,Rain,1.84,1.82,Day,40.62851,-109.372907,MI
2,2022-03-13 19:00:00,Thunderstorm,9.21,1.15,Day,25.333208,-95.213275,NC
2,2022-03-13 20:00:00,Snow,4.86,1.4,Night,39.912648,-107.883292,GA
2,2022-03-13 21:00:00,Rain,1.24,1.71,Night,40.660766,-123.861687,TX
4,2022-03-13 22:00:00,Snow,9.62,1.92,Night,28.794582,-83.075465,IL
1,2022-03-13 23:00:00,Snow,8.85,0.98,Day,35.34578,-111.085647,MI
2,2022-03-14 00:00:00,Fog,7.67,1.12,Night,48.143982,-101.557882,MI
2,2022-03-14 01:00:00,Rain,9.37,0.83,Night,46.220541,-108.206312,PA
2,2022-03-14 02:00:00,Snow,2.59,0.14,Night,34.859714,-113.221484,GA
3,2022-03-14 03:00:00,Cloudy,8.45,0.85,Night,33.39631,-121.03996,CA
3,2022-03-14 04:00:00,Snow,7.05,1.58,Day,27.977936,-105.064495,NC
4,2022-03-14 05:00:00,Cloudy,8.76,1.61,Night,25.844538,-120.17705,NC
1,2022-03-14 06:00:00,Rain,8.07,1.78,Day,32.139107,-93.121171,OH
4,2022-03-14 07:00:00,Thunderstorm,3.79,0.1,Day,47.5668,-123.842178,GA
1,2022-03-14 08:00:00,Rain,7.86,1.05,Night,48.006723,-69.538827,NC
3,2022-03-14 09:00:00,Thunderstorm,2.99,0.21,Night,44.500464,-67.977974,PA
3,2022-03-14 10:00:00,Thunderstorm,3.62,0.4,Night,33.419796,-107.025423,TX
3,2022-03-14 11:00:00,Rain,1.53,1.8,Day,28.447034,-109.648516,CA
4,2022-03-14 12:00:00,Snow,9.38,0.99,Night,39.292803,-118.840093,PA
2,2022-03-14 13:00:00,Clear,3.26,1.52,Night,40.51612,-71.609783,GA
2,2022-03-14 14:00:00,Snow,5.45,0.13,Night,35.189766,-90.375028,MI
3,2022-03-14 15:00:00,Snow,4.22,0.83,Day,41.599523,-89.00263,NY
2,2022-03-14 16:00:00,Fog,9.62,1.35,Night,42.920365,-72.144469,NY
2,2022-03-14 17:00:00,Fog,3.68,0.27,Day,43.79348,-71.263579,NY
4,2022-03-14 18:00:00,Snow,7.9,0.65,Day,37.055155,-76.127841,GA
1,2022-03-14 19:00:00,Cloudy,8.63,0.13,Day,43.999379,-79.366948,OH
3,2022-03-14 20:00:00,Thunderstorm,4.64,1.3,Night,25.611434,-73.242768,CA
3,2022-03-14 21:00:00,Fog,4.09,1.94,Night,41.329705,-73.317734,MI
4,2022-03-14 22:00:00,Snow,7.6,1.65,Day,30.655215,-103.249953,IL
4,2022-03-14 23:00:00,Clear,9.17,1.95,Night,31.492487,-67.569918,NY
2,2022-03-15 00:00:00,Cloudy,7.67,1.69,Day,27.191241,-83.161199,TX
3,2022-03-15 01:00:00,Rain,2.66,1.71,Night,29.617414,-103.157643,FL
1,2022-03-15 02:00:00,Snow,8.94,1.15,Night,48.808198,-98.919078,NY
4,2022-03-15 03:00:00,Snow,4.18,1.04,Night,34.969363,-84.459268,MI
1,2022-03-15 04:00:00,Thunderstorm,5.97,0.81,Day,47.26637,-103.695164,OH
1,2022-03-15 05:00:00,Cloudy,8.4,1.64,Night,28.909589,-76.233095,CA
3,2022-03-15 06:00:00,Fog,2.29,0.36,Day,29.897412,-116.264246,CA
3,2022-03-15 07:00:00,Fog,7.95,0.11,Night,38.38752,-71.451936,FL
4,2022-03-15 08:00:00,Fog,6.16,1.9,Night,33.388781,-107.229347,TX
3,2022-03-15 09:00:00,Rain,8.99,0.01,Night,40.453965,-115.989946,FL
3,2022-03-15 10:00:00,Cloudy,2.13,1.95,Night,35.129118,-74.376567,FL
3,2022-03-15 11:00:00,Cloudy,4.5,1.46,Day,44.478334,-110.871669,CA
1,2022-03-15 12:00:00,Fog,8.41,0.66,Day,35.357418,-75.239651,IL
4,2022-03-15 13:00:00,Fog,0.68,1.4,Night,38.73638,-107.5204,GA
2,2022-03-15 14:00:00,Thunderstorm,1.57,1.64,Day,32.705757,-69.902007,PA
1,2022-03-15 15:00:00,Clear,9.91,0.49,Day,41.896984,-112.074419,CA
3,2022-03-15 16:00:00,Clear,3.16,1.54,Day,40.713621,-120.890651,MI
1,2022-03-15 17:00:00,Snow,9.77,1.61,Night,34.528025,-69.744661,OH
3,2022-03-15 18:00:00,Snow,2.23,0.5,Night,31.62477,-115.228081,MI
3,2022-03-15 19:00:00,Cloudy,3.93,0.08,Night,39.738505,-69.29618,NC
1,2022-03-15 20:00:00,Cloudy,7.65,0.41,Night,47.63564,-76.385336,OH
4,2022-03-15 21:00:00,Rain,6.75,0.4,Day,28.183433,-120.166402,NC
3,2022-03-15 22:00:00,Rain,6.02,0.13,Day,44.178799,-98.737023,MI
4,2022-03-15 23:00:00,Clear,5.53,1.45,Night,38.031803,-120.66942,NC
2,2022-03-16 00:00:00,Snow,8.51,0.76,Night,37.613433,-105.542593,TX
3,2022-03-16 01:00:00,Clear,2.73,1.77,Night,48.08042,-104.261318,GA
4,2022-03-16 02:00:00,Clear,4.7,0.5,Day,39.540995,-89.621634,OH
4,2022-03-16 03:00:00,Snow,1.98,0.91,Night,44.932428,-67.422161,OH
2,2022-03-16 04:00:00,Rain,6.16,1.28,Night,37.347454,-114.983957,TX
4,2022-03-16 05:00:00,Thunderstorm,2.88,1.75,Night,30.996481,-105.580093,CA
4,2022-03-16 06:00:00,Thunderstorm,3.67,1.05,Day,41.667767,-90.360953,NY
2,2022-03-16 07:00:00,Thunderstorm,4.98,0.75,Night,47.156246,-114.88617,OH
3,2022-03-16 08:00:00,Snow,0.75,1.73,Day,45.189522,-83.06813,IL
4,2022-03-16 09:00:00,Fog,1.37,0.62,Night,29.760727,-101.184077,MI
4,2022-03-16 10:00:00,Fog,7.02,0.16,Night,32.605339,-68.975235,TX
4,2022-03-16 11:00:00,Fog,4.58,0.89,Night,37.405136,-87.837614,OH
1,2022-03-16 12:00:00,Cloudy,8.72,1.57,Day,38.718479,-103.578238,MI
2,2022-03-16 13:00:00,Rain,7.1,0.06,Night,29.651539,-82.551086,NC
1,2022-03-16 14:00:00,Rain,0.58,1.17,Day,30.520296,-75.51348,TX
2,2022-03-16 15:00:00,Cloudy,6.36,1.19,Night,43.211946,-77.771694,MI
3,2022-03-16 16:00:00,Clear,1.39,1.86,Day,42.527618,-109.496901,PA
3,2022-03-16 17:00:00,Thunderstorm,7.92,0.57,Night,45.141012,-100.397982,TX
4,2022-03-16 18:00:00,Fog,9.92,0.56,Night,47.390315,-98.321518,CA
2,2022-03-16 19:00:00,Thunderstorm,5.55,0.88,Day,32.398267,-102.08538,OH
3,2022-03-16 20:00:00,Fog,6.99,0.71,Day,45.630279,-106.659049,TX
2,2022-03-16 21:00:00,Thunderstorm,2.75,1.47,Night,40.984283,-80.58788,IL
3,2022-03-16 22:00:00,Clear,4.66,1.28,Night,47.98649,-124.27877,OH
1,2022-03-16 23:00:00,Thunderstorm,8.63,1.52,Night,31.52978,-107.68089,CA
3,2022-03-17 00:00:00,Thunderstorm,2.09,1.64,Day,31.472116,-116.644582,NC
1,2022-03-17 01:00:00,Snow,3.02,1.85,Night,41.903043,-117.40261,IL
3,2022-03-17 02:00:00,Thunderstorm,4.73,0.86,Day,47.281859,-108.659439,TX
4,2022-03-17 03:00:00,Snow,7.27,1.97,Day,44.78934,-80.032968,CA
1,2022-03-17 04:00:00,Rain,4.07,0.43,Day,42.448949,-67.80411,CA
3,2022-03-17 05:00:00,Cloudy,9.31,1.43,Night,34.295421,-94.63751,TX
4,2022-03-17 06:00:00,Thunderstorm,1.4,1.07,Night,42.226416,-105.000663,NC
1,2022-03-17 07:00:00,Rain,4.02,1.63,Night,44.226294,-76.078942,TX
4,2022-03-17 08:00:00,Snow,7.24,0.95,Night,43.078856,-121.040898,CA
2,2022-03-17 09:00:00,Thunderstorm,2.65,1.57,Day,41.243459,-119.503091,NY
2,2022-03-17 10:00:00,Thunderstorm,6.74,1.86,Night,26.13115,-104.623387,NC
1,2022-03-17 11:00:00,Clear,2.06,1.46,Day,40.833158,-98.543899,GA
3,2022-03-17 12:00:00,Rain,1.03,1.55,Day,36.479072,-77.927566,OH
1,2022-03-17 13:00:00,Fog,1.65,0.13,Day,48.077663,-70.409428,GA
4,2022-03-17 14:00:00,Fog,9.33,0.41,Night,39.572557,-93.654684,TX
3,2022-03-17 15:00:00,Clear,5.74,1.95,Night,39.597454,-95.756964,PA
2,2022-03-17 16:00:00,Snow,8.07,1.39,Night,48.857324,-112.43235,OH
3,2022-03-17 17:00:00,Fog,3.66,1.12,Day,27.246107,-98.380289,CA
2,2022-03-17 18:00:00,Fog,6.13,0.73,Day,31.631591,-70.50499,IL
3,2022-03-17 19:00:00,Cloudy,5.2,0.09,Night,40.745907,-101.818927,OH
3,2022-03-17 20:00:00,Rain,9.48,0.74,Day,32.56567,-112.569733,GA
3,2022-03-17 21:00:00,Snow,7.6,1.0,Day,33.307604,-105.099593,PA
4,2022-03-17 22:00:00,Thunderstorm,7.44,0.42,Day,46.423479,-94.638918,GA
4,2022-03-17 23:00:00,Rain,0.94,0.35,Night,38.904494,-89.683483,MI
1,2022-03-18 00:00:00,Snow,5.72,1.02,Night,27.468774,-99.486637,CA
1,2022-03-18 01:00:00,Fog,4.94,1.17,Night,32.460702,-80.246365,NY
2,2022-03-18 02:00:00,Cloudy,9.31,0.48,Day,26.825401,-90.51725,IL
4,2022-03-18 03:00:00,Rain,2.94,1.17,Night,38.347118,-85.76216,NY
2,2022-03-18 04:00:00,Fog,3.06,1.8,Night,29.158437,-74.087783,PA
1,2022-03-18 05:00:00,Snow,4.41,0.95,Day,45.570764,-73.924374,TX
2,2022-03-18 06:00:00,Rain,2.81,1.71,Day,38.855537,-112.99301,OH
1,2022-03-18 07:00:00,Thunderstorm,1.73,1.85,Night,26.425015,-88.22266,NC
4,2022-03-18 08:00:00,Rain,8.65,0.18,Night,32.221016,-82.718189,OH
3,2022-03-18 09:00:00,Fog,5.8,0.19,Night,39.792104,-116.394676,CA
4,2022-03-18 10:00:00,Rain,8.68,0.95,Day,33.05196,-75.27658,TX
2,2022-03-18 11:00:00,Thunderstorm,8.4,1.18,Night,37.31624,-114.352278,GA
2,2022-03-18 12:00:00,Cloudy,3.18,0.85,Day,46.824695,-77.842514,CA
4,2022-03-18 13:00:00,Cloudy,5.7,0.65,Night,33.400863,-115.47352,TX
4,2022-03-18 14:00:00,Fog,1.29,1.28,Night,33.060949,-81.235066,PA
1,2022-03-18 15:00:00,Snow,9.19,0.0,Day,44.674164,-116.259269,IL
2,2022-03-18 16:00:00,Fog,4.34,1.94,Night,32.650157,-102.649071,CA
2,2022-03-18 17:00:00,Cloudy,4.24,0.46,Day,26.871,-116.532548,CA
4,2022-03-18 18:00:00,Clear,3.38,1.83,Night,29.342679,-109.027809,TX
3,2022-03-18 19:00:00,Clear,4.88,0.22,Night,47.771206,-66.913628,FL
2,2022-03-18 20:00:00,Rain,2.89,0.48,Night,47.399027,-118.647136,NC
3,2022-03-18 21:00:00,Thunderstorm,4.06,0.47,Night,30.39549,-101.018575,FL
4,2022-03-18 22:00:00,Rain,8.1,1.99,Night,38.284045,-85.061759,GA
4,2022-03-18 23:00:00,Clear,8.43,0.01,Day,28.296834,-119.418684,IL
1,2022-03-19 00:00:00,Cloudy,3.39,1.28,Night,41.192263,-118.567054,MI
2,2022-03-19 01:00:00,Rain,4.96,1.74,Night,29.447339,-116.547491,PA
3,2022-03-19 02:00:00,Fog,8.8,1.34,Day,26.19497,-86.945804,NC
1,2022-03-19 03:00:00,Thunderstorm,1.0,0.73,Night,44.797523,-71.349122,GA
2,2022-03-19 04:00:00,Fog,8.95,1.92,Day,32.809609,-76.266622,FL
1,2022-03-19 05:00:00,Thunderstorm,2.58,1.79,Night,27.604538,-66.999741,OH
4,2022-03-19 06:00:00,Cloudy,6.95,0.87,Night,45.013695,-90.889865,NY
2,2022-03-19 07:00:00,Rain,6.03,1.15,Day,43.297539,-68.272839,GA
1,2022-03-19 08:00:00,Thunderstorm,5.75,1.94,Day,41.410203,-107.008884,OH
1,2022-03-19 09:00:00,Fog,8.66,1.97,Night,46.869969,-100.131229,FL
3,2022-03-19 10:00:00,Rain,1.46,0.9,Day,36.741426,-101.633559,OH
1,2022-03-19 11:00:00,Rain,3.8,1.69,Night,28.073356,-122.205909,IL
2,2022-03-19 12:00:00,Fog,5.61,0.6,Day,26.472314,-76.047389,IL
2,2022-03-19 13:00:00,Clear,8.21,0.74,Day,32.642584,-123.541627,MI
3,2022-03-19 14:00:00,Thunderstorm,2.56,0.33,Day,27.08394,-81.937301,FL
